301, Who wrote the anthem of Izmir?, Mehmet Akif Ersoy, Hüseyin Nihal Atsız, Kurt Striegler, Mustafa Nermi, 3
302, Which is the only mammal that can fly?, Bat, Ostrich, Chicken, Dodo bird, 0
303, Which is the world's largest lake?, Black Sea, Caspian Sea, Van Lake, Crater Lake, 1
304, Who is the second founder of the Ottoman Empire?, Yavuz Sultan Selim, Mehmet Çelebi, 1.Osman Gazi, Ali Kuşçu, 1
305, Where did Xeqani Şirvani die?, Şamaxı, Təbriz, Bakı, Naxçıvan, 1
306, How many Ballon d'Or has Lionel Messi won in 2021?, 6, 7, 5, 8, 1
307, When did Christopher Columbus discover America?, December 9 1420, August 5 1120, November 8 1480, October 12 1492, 3
308, Who is Rowan Atkinson?, Comedian actor, Artist, Drama actor, Musician, 0
309, When was Tesla Inc. established?, In 2008, In 2001, In 2003, In 2002, 2
310, When did Aziz Sancar receive the Nobel Prize?, In 2015, In 2010, In 2011, In 2012, 0
311, When was Genghis Khan born?, In 1206, In 1227, In 1109, In 1162, 3
312, When did Mozart die?, In 1791, In 1789, In 1610, In 1910, 0
313, What is the capital of Germany?, Berlin, Hamburg, Köln, Münih, 0
314, Who is Nikola Tesla?, Actor, Musician, Inventor, Artist, 2
315, Which one is not a color of cactus flower?, Purple, Yellow, Brown, Black, 3
316, How many letters does the English alphabet consist of?, 27, 26, 31, 33, 1
317, Who is the first minister of education of Turkey?, Mehmet Vehbi Bolak, İsmail Safa Özer, Rıza Nur, Yusuf Hikmet Bayur, 2
318, Who is the artist of Guernica?, Leonardo Da Vinci, Pablo Picasso, Sandro Botticelli, Vincent van Gogh, 1
319, Which of the following is the largest desert?, Sahara Desert, Great Victoria Desert, Gobi Desert, Great Basin Desert, 0
320, Who is the author of Diwan Lugat al-Turk?, 2. Mehmed, Mahmud Al-Kashgari, Mahmud of Ghazni, Mehmet Akif Ersoy, 1
321, Who invented the atom?, Democritus, Paul Berg, John Dalton, Ivan Pavlov, 0
322, Which of the following is not a musical instrument?, Philharmonic, Violin, Mandolin, Tuba, 0
323, Who discovered gravity?, Isaac Newton, Albert Einstein, Marie Curie, Nikola Tesla, 0
324, How many players play in volleyball?, 5, 9, 4, 6, 3
325, Who invented the petrol motor car?, Karl Benz, Marconi, Thomas Edison, Ernest Rutherford, 0
326, Who is the last prophet in Islam?, Muhammad (PBUH), Adam (PBUH), Salih (PBUH), Musa (PBUH), 0
327, When did Mete Han die?, B.C. 174, B.C. 234, 154, 127, 0
328, What does r2 mean?, Diameter, Radius, Rational number, Algebraic expression, 1
329, Who is Tutu's father?, Rıdvan, Harezmi, Alparslan, Dukak, 2
330, Who is the director of the movie Ghost Town?, Ricky Gervais, Ghost Town, Téa Leoni, Greg Kinnear, 1
331, I owe a friend of mine. I gave half of my debt and the remaining 93 TL remained. How many TL did I owe at first?, 132, 124, 372, 186, 0
332, What is the correct order of the musical notes?, DO-RE-Mİ-FA-SOL-LA-Sİ-DO,	DO-GO-DO-RE-KO-LA-FA-Sİ, DO-DO-DO-DO-DO-DO-DO-DO, Sİ-LA-Sİ-FA-Mİ-RE-Sİ-FA, 0
333, Which Turkish tribe was the first to accept Islam?, Kayılar, Peçenekler, ÇAVULDUR, Korkuluklar, 2
334, Can is the capital of which country?, Güney Afrika Cumhuriyeti, Kanada, Kolombiya, Avustralya, 3
335, What is the distance between the penalty shootout and the goalkeeper in football?, 9 meters, 13 meters, 11 meters, 14 meters, 2
336, What was the subject of the biennial held in Istanbul in 2017?, Anne ben barbar mıyım?, İsimsiz, İyi bir komşu, İnsan neyle yaşar, 1
337, How many hours how many minutes how many seconds in a day?, 24 sa. 32 dk. 3.972 sn., 22 sa. 60 dk. 5935 sn., 23 sa. 56 dk. 4.004 sn., 22 sa. 42 dk. 5.072 sn., 2
338, Who is the director of the movie Into the Woods?, Gore Verbinski, John Deluca, Kathleen Marshall, Rob Marshall, 3
339, How many steps does a robot take to reach 21 steps forward by taking 6 steps forward and 2 steps back each time?, 37, 38, 39, 40, 0
340, Where can you go to withdraw money?, Coffee Shop, Bank, Hospital, Music Store, 1
341, How long does it take Earth to complete once around the Sun?, 24 hours, 30 minutes, 336 days, 365 days, 3
342, What is the biggest planet in our Solar System?, Jupiter, Saturn, Sun, Uranus, 0
343, Where is Ethiopia?, In Africa, In Europe, In South America, Australia, 0
344, Who found the number 0?, Cezeri, El-Harezmi, Ali Kuşçu, İbni Sina, 1
345, John has 5 fewer sweets than Joe. If Joe has 10 sweets how many sweets does John have?, 17, 5, 10, 50, 1
346, Which lake is regarded as a sea because of its size?, Baikal, Bled, Caspian, Attabat, 2
347, When was the period of the Baroque era?, 1780, 17th century, 19th century, 20th century, 1
348, Which sport game isn't played with a ball?, Football, Basketball, Polo, Volleyball, 2
349, What is a Nebula?, A hot ball of glowing gases, A cloud of dust and gas, A dim star, Black Hole, 1
350, Total points in the LGS exam?, 300, 500, 1600, 100, 1
351, What is the capital of Turkey?, Istanbul, Izmir, Bursa, Ankara, 3
